遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,112000027,2023/02/01,1995450,39909,887000,02,03,05,08,09,10,11,16,18,21,23,24
雙贏彩,112000028,2023/02/02,1886900,37738,1180200,03,06,07,08,10,12,15,16,17,19,23,24
雙贏彩,112000029,2023/02/03,1977250,39545,374200,02,04,05,06,07,08,09,14,17,21,22,24
雙贏彩,112000030,2023/02/04,2044350,40887,718500,02,07,09,13,14,15,16,19,20,22,23,24
雙贏彩,112000031,2023/02/06,2193650,43873,1012900,01,06,07,09,10,12,15,17,18,21,22,24
雙贏彩,112000032,2023/02/07,1989700,39794,409000,02,03,05,06,11,12,16,17,18,20,22,23
雙贏彩,112000033,2023/02/08,2492800,49856,562400,04,06,07,09,11,12,14,15,18,19,21,23
雙贏彩,112000034,2023/02/09,2059050,41181,599400,01,03,04,09,10,11,13,14,15,16,20,24
雙贏彩,112000035,2023/02/10,2042950,40859,587300,02,05,07,10,12,13,14,16,17,20,22,23
雙贏彩,112000036,2023/02/11,2414000,48280,841200,01,02,04,08,10,11,14,15,19,21,22,23
雙贏彩,112000037,2023/02/13,2183400,43668,504000,04,07,08,10,11,13,14,16,17,19,20,24
雙贏彩,112000038,2023/02/14,1839500,36790,787000,02,03,08,10,12,13,15,17,18,21,22,23
雙贏彩,112000039,2023/02/15,2293950,45879,316800,02,03,05,06,07,09,10,13,14,15,17,23
雙贏彩,112000040,2023/02/16,1927900,38558,374700,02,03,07,10,11,12,14,15,17,18,19,24
雙贏彩,112000041,2023/02/17,1916500,38330,601600,02,04,08,09,12,13,14,15,16,18,20,21
雙贏彩,112000042,2023/02/18,2446200,48924,664100,05,06,09,11,13,14,15,18,19,20,23,24
雙贏彩,112000043,2023/02/20,2098300,41966,787500,05,08,09,10,11,14,16,17,19,21,22,24
雙贏彩,112000044,2023/02/21,1843900,36878,1088200,01,04,05,08,10,11,12,13,14,17,20,21
雙贏彩,112000045,2023/02/22,2224100,44482,1141900,02,03,05,07,08,09,11,15,18,20,22,24
雙贏彩,112000046,2023/02/23,1941600,38832,387600,01,03,04,06,07,08,09,11,16,18,21,24
雙贏彩,112000047,2023/02/24,1889650,37793,608800,01,02,04,08,09,11,12,13,15,19,21,23
雙贏彩,112000048,2023/02/25,2167300,43346,697000,01,03,04,06,07,11,12,14,15,17,18,19
雙贏彩,112000049,2023/02/27,1975200,39504,1231800,02,03,06,08,12,15,16,17,18,20,22,24
雙贏彩,112000050,2023/02/28,1772850,35457,1489600,02,03,07,10,11,12,14,15,17,18,19,22
雙贏彩,112000051,2023/03/01,2278950,45579,627900,02,03,04,05,06,07,11,13,14,19,20,21
雙贏彩,112000052,2023/03/02,1965300,39306,392200,02,03,04,09,11,13,14,15,18,21,23,24
雙贏彩,112000053,2023/03/03,1918350,38367,278800,02,05,06,08,09,10,11,12,13,14,19,24
雙贏彩,112000054,2023/03/04,2265150,45303,518100,02,04,05,06,07,12,13,14,15,18,21,24
雙贏彩,112000055,2023/03/06,2170400,43408,556200,02,04,05,06,08,11,13,15,16,17,22,24
雙贏彩,112000056,2023/03/07,1853150,37063,594700,01,02,03,05,06,08,12,14,15,16,18,19
雙贏彩,112000057,2023/03/08,2344700,46894,526800,01,03,07,08,10,11,13,14,17,18,19,21
雙贏彩,112000058,2023/03/09,1917050,38341,377000,01,02,04,10,11,12,13,14,15,17,18,20
雙贏彩,112000059,2023/03/10,1973650,39473,399700,01,04,05,08,13,15,16,17,20,22,23,24
雙贏彩,112000060,2023/03/11,2439050,48781,687600,01,02,04,05,06,07,08,09,11,13,15,18
雙贏彩,112000061,2023/03/13,2119200,42384,284600,02,04,07,09,11,12,13,14,16,17,23,24
雙贏彩,112000062,2023/03/14,1904700,38094,785000,01,02,07,08,09,10,12,16,17,18,19,22
雙贏彩,112000063,2023/03/15,2319900,46398,681600,01,02,04,06,07,08,09,11,12,13,22,24
雙贏彩,112000064,2023/03/16,1919900,38398,174400,04,05,06,07,09,10,15,17,18,19,22,23
雙贏彩,112000065,2023/03/17,1893150,37863,586200,03,04,05,07,08,10,11,12,13,15,16,21
雙贏彩,112000066,2023/03/18,2273900,45478,727300,01,02,04,05,08,09,11,13,15,18,19,24
雙贏彩,112000067,2023/03/20,2125950,42519,702400,01,02,03,05,07,08,13,14,15,16,21,22
雙贏彩,112000068,2023/03/21,1813700,36274,376700,02,03,05,07,09,10,13,14,18,20,22,24
雙贏彩,112000069,2023/03/22,2245950,44919,974200,01,02,04,06,11,12,13,15,17,18,21,23
雙贏彩,112000070,2023/03/23,1829200,36584,594400,01,02,05,07,08,09,13,14,18,21,23,24
雙贏彩,112000071,2023/03/24,1857300,37146,384400,04,06,07,08,09,10,11,12,14,19,22,23
雙贏彩,112000072,2023/03/25,2259350,45187,943700,02,05,06,08,11,13,14,15,19,20,23,24
雙贏彩,112000073,2023/03/27,1902300,38046,389800,01,04,06,08,09,11,12,14,17,20,22,24
雙贏彩,112000074,2023/03/28,1774100,35482,171700,03,04,05,10,13,16,17,18,20,21,22,24
雙贏彩,112000075,2023/03/29,2146950,42939,617300,01,04,05,07,08,11,12,14,20,21,23,24
雙贏彩,112000076,2023/03/30,1797300,35946,484300,02,03,04,05,06,10,11,12,15,17,19,24
雙贏彩,112000077,2023/03/31,1786450,35729,778500,01,02,05,06,09,10,11,12,15,16,21,22
雙贏彩,112000078,2023/04/01,2093700,41874,503000,02,03,04,06,07,13,17,18,19,20,21,22
雙贏彩,112000079,2023/04/03,1897800,37956,376900,01,04,07,09,11,15,16,17,18,20,22,23
雙贏彩,112000080,2023/04/04,1716300,34326,453900,02,03,04,07,09,11,12,13,16,19,20,21
雙贏彩,112000081,2023/04/05,2024150,40483,611200,01,07,08,09,10,15,16,18,20,22,23,24
