遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,110000060,2021/03/11,2632350,52647,562400,03,04,05,07,08,09,12,14,15,16,17,20
雙贏彩,110000061,2021/03/12,2572950,51459,837400,01,02,03,05,07,08,10,12,17,21,22,23
雙贏彩,110000062,2021/03/13,3152550,63051,1373600,02,04,05,06,10,11,12,13,17,18,22,24
雙贏彩,110000063,2021/03/15,2780650,55613,1062500,01,04,07,10,11,12,13,17,18,19,21,23
雙贏彩,110000064,2021/03/16,2420200,48404,1336900,01,02,06,07,10,12,16,17,19,20,21,24
雙贏彩,110000065,2021/03/17,3052750,61055,1093400,01,05,06,08,09,11,14,17,18,19,23,24
雙贏彩,110000066,2021/03/18,2447700,48954,643800,08,09,10,11,14,15,16,18,20,21,22,23
雙贏彩,110000067,2021/03/19,2459500,49190,455500,02,04,10,11,14,15,16,17,18,19,20,22
雙贏彩,110000068,2021/03/20,3024850,60497,1505600,01,03,06,08,09,12,15,18,19,20,21,23
雙贏彩,110000069,2021/03/22,2502700,50054,461300,01,02,03,07,10,11,12,14,17,21,22,23
雙贏彩,110000070,2021/03/23,2339850,46797,846700,01,04,05,06,09,12,13,14,15,16,17,18
雙贏彩,110000071,2021/03/24,2863600,57272,991800,06,07,09,12,13,14,16,17,18,19,20,22
雙贏彩,110000072,2021/03/25,2403200,48064,344700,04,05,09,10,12,14,15,16,17,19,22,24
雙贏彩,110000073,2021/03/26,2384150,47683,724800,02,03,05,07,09,12,15,16,19,22,23,24
雙贏彩,110000074,2021/03/27,2886850,57737,689100,01,02,03,09,10,13,14,16,17,18,22,23
雙贏彩,110000075,2021/03/29,2537500,50750,738100,02,04,05,06,07,08,10,14,16,19,20,21
雙贏彩,110000076,2021/03/30,2305300,46106,603400,02,05,06,08,10,17,18,19,20,21,22,24
雙贏彩,110000077,2021/03/31,2993700,59874,474200,01,02,06,11,12,15,16,17,18,20,21,23
雙贏彩,110000078,2021/04/01,2417650,48353,918700,02,04,09,11,12,14,15,17,19,21,23,24
雙贏彩,110000079,2021/04/02,2265350,45307,487200,01,02,05,06,07,09,11,16,17,19,21,23
雙贏彩,110000080,2021/04/03,2830000,56600,1242000,07,08,09,10,11,12,14,15,16,17,19,20
雙贏彩,110000081,2021/04/05,2448000,48960,823700,02,03,04,09,10,11,13,14,16,19,21,23
雙贏彩,110000082,2021/04/06,2285250,45705,711900,01,03,06,07,08,10,11,15,16,22,23,24
雙贏彩,110000083,2021/04/07,2971600,59432,968500,02,03,06,07,13,14,16,17,19,20,22,24
雙贏彩,110000084,2021/04/08,2325350,46507,723800,01,04,07,08,10,11,12,16,18,20,22,23
雙贏彩,110000085,2021/04/09,2388450,47769,1234200,01,02,04,11,15,17,18,19,21,22,23,24
雙贏彩,110000086,2021/04/10,2934250,58685,782500,03,05,06,08,09,10,11,15,16,20,22,24
雙贏彩,110000087,2021/04/12,2589900,51798,664000,02,03,04,05,09,12,14,16,17,18,20,22
雙贏彩,110000088,2021/04/13,2301350,46027,698100,05,06,07,09,12,14,16,17,19,20,23,24
雙贏彩,110000089,2021/04/14,2902050,58041,1093300,01,05,07,11,13,15,16,18,19,22,23,24
雙贏彩,110000090,2021/04/15,2360000,47200,455600,01,03,04,07,08,10,12,13,19,20,23,24
雙贏彩,110000091,2021/04/16,2343150,46863,437400,01,02,03,05,06,09,10,13,14,16,17,23
雙贏彩,110000092,2021/04/17,2896950,57939,1305700,03,05,07,10,11,14,16,17,18,19,21,22
雙贏彩,110000093,2021/04/19,2568500,51370,649600,01,03,04,06,07,13,15,17,19,20,21,22
雙贏彩,110000094,2021/04/20,2270550,45411,822900,02,03,06,08,10,11,15,16,17,19,20,24
雙贏彩,110000095,2021/04/21,2897150,57943,1131500,01,02,03,04,05,07,08,09,14,16,18,21
雙贏彩,110000096,2021/04/22,2351450,47029,517600,01,02,03,05,06,07,10,12,15,16,18,21
雙贏彩,110000097,2021/04/23,2334050,46681,841400,02,04,05,10,11,13,15,16,17,18,19,24
雙贏彩,110000098,2021/04/24,2871450,57429,785200,01,03,04,12,14,16,17,18,19,21,22,23
雙贏彩,110000099,2021/04/26,2520100,50402,660900,03,05,06,09,10,13,14,16,17,18,21,23
雙贏彩,110000100,2021/04/27,2253550,45071,721800,02,04,05,06,08,09,10,12,13,14,15,24
雙贏彩,110000101,2021/04/28,2674150,53483,979800,01,04,05,06,07,12,13,15,18,20,22,24
雙贏彩,110000102,2021/04/29,2279350,45587,660400,02,04,06,08,09,11,19,20,21,22,23,24
雙贏彩,110000103,2021/04/30,2266050,45321,538300,01,02,03,05,06,07,15,18,20,21,22,24
雙贏彩,110000104,2021/05/01,2791050,55821,962900,01,04,05,07,08,09,10,11,12,16,19,23
雙贏彩,110000105,2021/05/03,2494150,49883,755000,01,02,04,10,12,13,14,17,20,21,22,23
雙贏彩,110000106,2021/05/04,2210800,44216,613600,01,04,06,07,08,11,12,13,14,15,18,21
