遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5
39樂合彩,113000079,2024/04/01,30098250,1203930,19128875,5,9,14,20,33
39樂合彩,113000080,2024/04/02,27396075,1095843,12048375,4,10,12,23,26
39樂合彩,113000081,2024/04/03,30843325,1233733,29227875,1,3,6,21,27
39樂合彩,113000082,2024/04/04,28929000,1157160,15757250,8,14,22,27,35
39樂合彩,113000083,2024/04/05,27548525,1101941,14350250,1,13,31,34,35
39樂合彩,113000084,2024/04/06,30061200,1202448,15402375,4,7,15,22,30
39樂合彩,113000085,2024/04/08,31506000,1260240,18809500,3,9,21,27,36
39樂合彩,113000086,2024/04/09,28398125,1135925,15061500,12,21,24,25,39
39樂合彩,113000087,2024/04/10,32284950,1291398,9628625,2,3,21,26,30
39樂合彩,113000088,2024/04/11,31122325,1244893,19797875,13,15,18,19,33
39樂合彩,113000089,2024/04/12,29584500,1183380,21959125,1,3,10,14,31
39樂合彩,113000090,2024/04/13,32354950,1294198,10788875,1,2,9,19,31
39樂合彩,113000091,2024/04/15,31946875,1277875,18068500,3,9,10,13,17
39樂合彩,113000092,2024/04/16,28489700,1139588,10771875,6,17,21,26,28
39樂合彩,113000093,2024/04/17,30579500,1223180,15274375,15,28,35,36,39
39樂合彩,113000094,2024/04/18,28927625,1157105,8468875,6,13,15,25,28
39樂合彩,113000095,2024/04/19,27638000,1105520,11584875,2,10,21,22,38
39樂合彩,113000096,2024/04/20,30206450,1208258,21567125,3,12,20,34,35
39樂合彩,113000097,2024/04/22,30853050,1234122,7940000,6,14,20,28,35
39樂合彩,113000098,2024/04/23,26286750,1051470,19321875,17,18,32,35,37
39樂合彩,113000099,2024/04/24,26945575,1077823,14410125,3,6,10,17,28
39樂合彩,113000100,2024/04/25,25937250,1037490,13284750,16,20,21,22,25
39樂合彩,113000101,2024/04/26,25913500,1036540,8529500,10,14,25,31,36
39樂合彩,113000102,2024/04/27,29458000,1178320,12606500,9,15,22,34,36
39樂合彩,113000103,2024/04/29,29635225,1185409,22261750,4,10,12,21,27
39樂合彩,113000104,2024/04/30,27045800,1081832,16335875,3,7,12,17,37
39樂合彩,113000105,2024/05/01,29727950,1189118,10922375,9,24,32,36,39
39樂合彩,113000106,2024/05/02,29234425,1169377,28027625,3,6,13,28,35
39樂合彩,113000107,2024/05/03,28678450,1147138,19976625,5,6,11,16,37
39樂合彩,113000108,2024/05/04,30964550,1238582,11515000,2,7,13,18,28
39樂合彩,113000109,2024/05/06,31640175,1265607,12724500,12,28,31,35,39
39樂合彩,113000110,2024/05/07,27714950,1108598,10344750,4,9,18,25,39
